,Site_Independent,EVmutation,DeepSequence_ensemble,EVE_ensemble,Unirep,Unirep_evotune,MSA_Transformer_ensemble,ESM1b,ESM1v_ensemble,ESM2_650M,Wavenet,RITA_xl,Progen2_xlarge,GEMME,VESPA,VESPAl,VespaG,ProtGPT2,Tranception_L,TranceptEVE_L,CARP_640M,MIF,MIFST,ESM-IF1,ProteinMPNN,ProtSSN_ensemble,SaProt_650M_AF2,PoET,MULAN_small,ProSST-4096,ESCOTT,VenusREM,RSALOR,S2F,S3F,SiteRM,ESM3,ESMC-600M,xTrimoPGLM-100B-int4,Progen3_3b
GEMME,0.6672504310702404,0.7021219269964656,0.7384137612906817,0.7908236927524012,0.31370927632973106,0.5512365388292865,0.7368274180129364,0.6217843973256306,0.6529771818645705,0.6351095934159712,0.6331048853333532,0.6007875971841706,0.6221553888029916,1.0,0.6888555265099225,0.6131865652640459,0.7453267238033262,0.28963375904249533,0.7572381963117847,0.799287933690836,0.6321392083866557,0.44872942835319785,0.5831645954282278,0.48513003157204865,0.2819946596509637,0.6442360380695692,0.6300863641309292,0.7462073005422863,0.4144029747640494,0.5015241740989385,0.9332446277713342,0.6309894542925505,0.7195714463779794,0.6481027230238561,0.6480040190333853,0.76834049017001,0.5847679472720557,0.6433321353965057,0.6103463688784039,0.6231901371047048
VESPA,0.557316256642359,0.6146827039535973,0.6483404911241942,0.6747572452930936,0.2969844395862216,0.5822786259610566,0.71855121279909,0.6578796944178552,0.6918655767820713,0.6828169415155035,0.6314131042562989,0.644631007300997,0.6796502467245233,0.6888555265099225,1.0,0.9453253816807975,0.7901616333274514,0.2943527048525545,0.7105309416877446,0.7332701283380961,0.6797035936548349,0.4454156433541005,0.6084895089387615,0.4973555568454595,0.286468614483339,0.68777042012712,0.667324520560527,0.7731418749469637,0.40090321156729836,0.5375963109828142,0.7103088391399304,0.6430197577955836,0.6671986240562343,0.6853607558923779,0.6873356642697854,0.7393242104921203,0.6046971808833888,0.6897673962070971,0.6422865995050547,0.6782389077210105
VESPAl,0.5098900570505482,0.5469121955975753,0.5752464059302206,0.5961534475629662,0.22015111326423883,0.5314652067745601,0.6094937791556311,0.5259202408230319,0.5614306277375403,0.558036813781306,0.5537376188364388,0.5397953589076618,0.5780840549328056,0.6131865652640459,0.9453253816807975,1.0,0.7260663297270458,0.25113291222452294,0.6159756590132618,0.6407459426586015,0.5443520811836905,0.3908908590124994,0.5152732622194193,0.4439056748507204,0.24991476829498693,0.5882944320608565,0.5570377860644148,0.6678759635535739,0.32070882836345765,0.4809017993992587,0.6483490224328207,0.5723414121432139,0.6056303683090928,0.5866019618369861,0.5924841257960582,0.6897218058903175,0.5300730707009317,0.5604403151881503,0.5116587222670972,0.5800857433936583
VespaG,0.5846737871824214,0.6222829131143587,0.646799382313616,0.6750420757966189,0.3537089258346442,0.5958308404032363,0.7260212562277861,0.6626096112204184,0.6969514720390528,0.7186763441519285,0.6429608706458289,0.6563358840883952,0.6902937519404295,0.7453267238033262,0.7901616333274514,0.7260663297270458,1.0,0.2995047802317301,0.7370528087309198,0.7406593568729584,0.6748287123437453,0.4954382079271819,0.6193153441258709,0.5281397052699083,0.3052400977934394,0.7281473039400493,0.6814645186916967,0.7815870954953593,0.4642793854401509,0.5619121679724328,0.7489779266446511,0.6655530501012961,0.6582759440545611,0.7236051990361744,0.7225710119039255,0.7222066871039846,0.6328693142167356,0.690618373253716,0.6184258438003377,0.688259131051293
ProtGPT2,0.2235673136702356,0.23644988349610652,0.2632740322184214,0.27683761586185496,0.17756937673216583,0.23849419496394952,0.2880802379483915,0.3107251332010065,0.3346129014116267,0.3063818808963706,0.26009506795831416,0.3013847143596718,0.29030473163733567,0.28963375904249533,0.2943527048525545,0.25113291222452294,0.2995047802317301,1.0,0.300804776788765,0.3028622104325829,0.3234685824773474,0.19399976267045826,0.26504399610319457,0.20497586458343559,0.1211697293625831,0.30128351816139803,0.2886108989734131,0.3226812010391148,0.2228054933220721,0.23166835036445138,0.278876129825456,0.2808731202359988,0.26850641956242866,0.3003573415921059,0.2984274552853377,0.27003612759407336,0.2569676027583264,0.31272330737916154,0.25139425748823174,0.30066645306192474
Tranception_L,0.7409613823103474,0.7316818983572858,0.7420223792278478,0.7830395065943978,0.4134497490179779,0.6099433529457574,0.770554784578227,0.6731701398137798,0.7288429032200366,0.6862564505861483,0.6703832453879194,0.7239276333438155,0.7429819073524034,0.7572381963117847,0.7105309416877446,0.6159756590132618,0.7370528087309198,0.300804776788765,1.0,0.9241061264837707,0.692912116347239,0.4774655012320699,0.606646032825093,0.5042786805524611,0.30240292500877985,0.6836431028916963,0.6656592739760978,0.7828095062166148,0.48302099974736007,0.5455152929376821,0.7498088035098031,0.6546948706364196,0.6657903162700438,0.6763976347649262,0.6713426501601599,0.7868163300571815,0.6079909254693174,0.6903272021620213,0.6430880387924778,0.7548939685350246
TranceptEVE_L,0.7468931079002052,0.8160171722444519,0.8745337722659154,0.9268425363857085,0.3833280234574797,0.6001187743864388,0.8023910021638461,0.682415379350648,0.7349395450000553,0.7013910946469575,0.698281989989715,0.6853349928964181,0.7114476496531463,0.799287933690836,0.7332701283380961,0.6407459426586015,0.7406593568729584,0.3028622104325829,0.9241061264837707,1.0,0.7016218578293058,0.47413732616719434,0.6166069181713444,0.5076822727808459,0.30601381336113354,0.6980378510432548,0.6830920810278286,0.8191044748849233,0.4620779705884903,0.5437357529426585,0.7968991287076347,0.6626663498827375,0.7422983472369095,0.6931394518385837,0.6906005337066918,0.8086525790529929,0.6191175921201632,0.7116657743511449,0.6640142589443147,0.7199347000546251
CARP_640M,0.523767603147751,0.5798053967126056,0.6163199348793992,0.6425086849650776,0.4454761503947346,0.5106830400613352,0.7113467890542144,0.8214075260755991,0.8300937746422944,0.7828844742378501,0.5976243150880189,0.6619407516674324,0.651594365720669,0.6321392083866558,0.6797035936548349,0.5443520811836905,0.6748287123437453,0.3234685824773474,0.692912116347239,0.7016218578293058,1.0,0.4470435022243545,0.714997281827753,0.47445396377222465,0.2864710131571504,0.7105642575149553,0.7219907724164808,0.7482941323473724,0.504421135344758,0.5144221600039746,0.6226765695024533,0.6159478726704709,0.6077633449248839,0.7106743045661815,0.700550187440439,0.6310655194687287,0.5991789567426326,0.8182019637224492,0.6521138461445461,0.6737951899432357
MIF,0.39498093222270325,0.3948782105832794,0.40520247298529416,0.4346253226363117,0.32104647324489816,0.3639285607173609,0.4565891223346185,0.4358723179830443,0.4631016795482542,0.4745303678901632,0.3954465122810461,0.40953194325078596,0.42082267116869865,0.44872942835319785,0.4454156433541005,0.3908908590124994,0.4954382079271819,0.19399976267045826,0.4774655012320699,0.47413732616719434,0.4470435022243545,1.0,0.7365285138566613,0.7766882610708435,0.49865117954766447,0.5755710910242727,0.5806323770687009,0.5005516363519955,0.45924413230611,0.5466959392880415,0.47598875872732366,0.5829225903197685,0.498195572153911,0.6072080880475186,0.6229370060443713,0.4424312050169119,0.7485489307174614,0.4631038395438483,0.3596826490605036,0.43040086447421
MIFST,0.4590341888230565,0.514497702955704,0.542867041204757,0.5709564931751336,0.3233443039347976,0.47053341419286865,0.6120441462329118,0.6243131301160771,0.6319197320217884,0.6168548203629538,0.5235997975945056,0.5476352865431207,0.5641378272115446,0.5831645954282278,0.6084895089387615,0.5152732622194193,0.6193153441258709,0.26504399610319457,0.606646032825093,0.6166069181713443,0.714997281827753,0.7365285138566613,1.0,0.6960025182314203,0.4201686218249466,0.6887123749552204,0.6976458501546171,0.6516325733153,0.467238808752285,0.53462654701395,0.5970922760456019,0.6229113497022698,0.6001604215727948,0.7110699685377807,0.7237435001695626,0.5690980098049159,0.7384781977994208,0.6324503871254485,0.5381529695269056,0.5694317676422078
ESM-IF1,0.4006141322633422,0.41800745874078105,0.44323664315974154,0.4702260137753666,0.3192681406163208,0.3983450180266313,0.4893904692073537,0.4710162260183918,0.5090232693985645,0.507294716751164,0.4333404542260434,0.43996430341217674,0.4557037935953141,0.48513003157204865,0.4973555568454595,0.4439056748507204,0.5281397052699083,0.20497586458343559,0.5042786805524611,0.5076822727808458,0.47445396377222465,0.7766882610708435,0.6960025182314203,1.0,0.48083443483489546,0.5993400053432639,0.6092124113381112,0.5382311065990639,0.4637108623908207,0.5691258362736952,0.5108459453567563,0.6140703854147362,0.5410179059849535,0.6286287422618185,0.6426116027135178,0.47480717874178263,0.7660021485246806,0.49647670182032816,0.42013208069077146,0.46273603643699307
ProteinMPNN,0.2531873103607402,0.2510234148972085,0.26843579346815616,0.2886507270917045,0.2094392762525781,0.2218456573113301,0.297506238883495,0.2811635930116568,0.299390119323312,0.30755827223019866,0.25774146853276103,0.25256307637698544,0.26082310962755817,0.2819946596509637,0.28646861448333893,0.24991476829498693,0.3052400977934394,0.12116972936258309,0.30240292500877985,0.30601381336113354,0.2864710131571504,0.49865117954766447,0.42016862182494646,0.48083443483489546,1.0,0.3614646642780837,0.36997594822006163,0.3213672442832899,0.27556607220175533,0.3616020733197465,0.2991975191758212,0.38454661236355037,0.3384372541107535,0.3785172790884483,0.39092500029713323,0.28782137626504145,0.46528695236988904,0.2971341485223588,0.2381556235510565,0.26803345740172885
ProtSSN_ensemble,0.5455944154852568,0.5868136685866979,0.6196838327355337,0.6491232500541118,0.37366456422163163,0.5249147267879511,0.6841068788526663,0.6956377816290261,0.7186553874024323,0.8622326858884091,0.5933954605252894,0.60618436124119,0.6223035837528679,0.6442360380695692,0.68777042012712,0.5882944320608566,0.7281473039400493,0.30128351816139803,0.6836431028916963,0.6980378510432548,0.7105642575149553,0.5755710910242727,0.6887123749552204,0.5993400053432639,0.3614646642780837,1.0,0.7525255209686887,0.7528249148932931,0.5131662432294654,0.5945965999655232,0.6467380563137543,0.6948435830334809,0.6384427547335401,0.895247165512586,0.8878732813377846,0.6414508533821162,0.7221015746664445,0.7347887503539868,0.5910404130166703,0.6388488683615379
SaProt_650M_AF2,0.5242710240413047,0.5808966664148566,0.6088848038297003,0.6362438353198993,0.388371393129112,0.49835506042243394,0.6893857626574239,0.7188255864187405,0.7292801349563747,0.736117341313898,0.5850191323224112,0.5988931855121539,0.6179812288439922,0.6300863641309291,0.667324520560527,0.5570377860644147,0.6814645186916967,0.2886108989734131,0.665659273976098,0.6830920810278286,0.7219907724164808,0.5806323770687009,0.6976458501546171,0.6092124113381112,0.36997594822006163,0.7525255209686887,1.0,0.748744871138365,0.546379297446861,0.5964461621323073,0.634377189225187,0.6978647979375613,0.6240918382124216,0.7697807114039579,0.7661278849639387,0.6191016558167974,0.759694503969164,0.7712386839704246,0.6070768369074625,0.6282438139483625
PoET,0.6550969659497583,0.7146822332636933,0.7358085606532649,0.776517143227315,0.39955406506896607,0.588152566423415,0.8308681232127076,0.7245168374082547,0.7692219062373418,0.7657877293733588,0.7078782400095496,0.6738675800793391,0.7006249565300612,0.7462073005422863,0.7731418749469637,0.6678759635535739,0.7815870954953592,0.3226812010391148,0.7828095062166148,0.8191044748849233,0.7482941323473724,0.5005516363519955,0.6516325733153,0.5382311065990639,0.32136724428328994,0.752824914893293,0.748744871138365,1.0,0.5053101044524939,0.5789367900382156,0.7509621481048742,0.7006874367890589,0.7226421636266529,0.7527120732678046,0.7502691322492964,0.7646438728252849,0.6704086943373113,0.7740033084823308,0.7017473939015829,0.7026948000781716
MULAN_small,0.4024037344870213,0.37691252636126127,0.3819972327415118,0.40829423372059254,0.4501450547255394,0.36102983227027213,0.46150965103947283,0.49832304692095747,0.5373587521852426,0.5098500477980825,0.3894527138419448,0.4397608126489371,0.42229157466540074,0.4144029747640494,0.40090321156729836,0.32070882836345765,0.4642793854401509,0.2228054933220721,0.48302099974736007,0.4620779705884903,0.504421135344758,0.45924413230611,0.467238808752285,0.4637108623908207,0.2755660722017553,0.5131662432294654,0.546379297446861,0.5053101044524939,1.0,0.480782180071605,0.3960708267154879,0.50854806155532,0.37569922957670443,0.5342405914923383,0.5190425656391833,0.4217439030636601,0.5346658854632707,0.5140441380828478,0.3628847510198402,0.4479826844259473
ProSST-4096,0.4590930606257376,0.44640302082258293,0.46567125429134504,0.5004464742479311,0.38213710944421536,0.4080616923595025,0.5149585386652122,0.508116664071086,0.5496029735451647,0.5539559932401618,0.4456415675147515,0.46584709181314393,0.47800850652290533,0.5015241740989385,0.5375963109828142,0.48090179939925864,0.5619121679724328,0.23166835036445138,0.5455152929376821,0.5437357529426585,0.5144221600039746,0.5466959392880415,0.53462654701395,0.5691258362736952,0.3616020733197465,0.5945965999655232,0.5964461621323073,0.5789367900382157,0.480782180071605,1.0,0.5287389616946879,0.7299437215778232,0.5321838091801138,0.6047233428541379,0.6066268406227491,0.5059329004769916,0.6281646595805066,0.5443948269920466,0.41549904868129334,0.5007383560855518
ESCOTT,0.6820507241806898,0.7236321478661248,0.7417022139828754,0.7902208946390764,0.2959628055033813,0.546245523966631,0.7267410141613729,0.6094573898652885,0.6373485383185523,0.6318758063788157,0.6265783865586705,0.5821477482504767,0.6115547420543244,0.9332446277713344,0.7103088391399304,0.6483490224328206,0.7489779266446511,0.278876129825456,0.7498088035098031,0.7968991287076347,0.6226765695024533,0.47598875872732366,0.5970922760456019,0.5108459453567563,0.2991975191758212,0.6467380563137543,0.634377189225187,0.7509621481048742,0.3960708267154879,0.5287389616946879,1.0,0.6553422615978243,0.7734756460955393,0.6492949278932318,0.6594151542587529,0.7779463941280176,0.6058949213212156,0.6371534693996884,0.5992346468724756,0.6139092310113412
VenusREM,0.577723304261115,0.5432798199390019,0.5789249006045151,0.6262663240741455,0.37941856665969764,0.4815249378604917,0.6419154110027357,0.6031386486139797,0.6451793652209371,0.6543352837926179,0.5357154442950199,0.5431937202555832,0.560902569882666,0.6309894542925505,0.6430197577955836,0.5723414121432139,0.6655530501012961,0.2808731202359988,0.6546948706364196,0.6626663498827376,0.6159478726704709,0.5829225903197685,0.6229113497022698,0.6140703854147362,0.38454661236355037,0.6948435830334809,0.6978647979375613,0.7006874367890589,0.50854806155532,0.7299437215778232,0.6553422615978243,1.0,0.6615557468237899,0.7045435485980844,0.7128522121145109,0.6345485002278395,0.7093533022214583,0.6414206315731759,0.5052146046946707,0.5856996108519587
