UniProt_ID,rho_evo_struct,rho_seq_struct
MET_HUMAN,-0.20593730353982342,-0.24827007163229942
MK01_HUMAN,-0.10904270822194458,-0.2159626848466137
MLAC_ECOLI,-0.15273435694365367,-0.18483093411409435
MSH2_HUMAN,0.05030679026463904,0.01113399674111114
MTH3_HAEAE,-0.1522915134742425,-0.12461461582518421
MTHR_HUMAN,0.06975647279362594,0.05460186743199121
MYO3_YEAST,0.13946108936708485,0.1003516939984996
NCAP_I34A1,-0.04096204458167471,-0.03952472872167309
NKX31_HUMAN,0.03614633052805524,-0.2541348812766196
NPC1_HUMAN,-0.03441582267770288,-0.02031097731798858
NRAM_I33A0,-0.01552885737049205,0.040576952386053536
NUD15_HUMAN,0.13456598547734192,0.16562383099755953
NUSA_ECOLI,-0.0364649463728122,0.09931034493116589
NUSG_MYCTU,-0.16973610637873765,-0.16843738165405445
OBSCN_HUMAN,-0.18382867132867134,0.010183566433566434
OPSD_HUMAN,-0.004554784841300601,0.11414763434937977
OTC_HUMAN,-0.08443747756978216,-0.12200197128738863
OXDA_RHOTO,-0.04008296889226152,0.03979782164859387
P53_HUMAN,0.016387483252976533,0.25680201745410186
P84126_THETH,-0.05383767840625209,-0.027604557510717106
PABP_YEAST,0.08816626126441458,0.24365922704068368
PAI1_HUMAN,-0.06137239063545106,-0.05775570846712745
PA_I34A1,0.01910646385508888,0.040455387983027016
PHOT_CHLRE,-0.02528820855502074,0.05830093488789661
PITX2_HUMAN,-0.18376670928132702,0.027069724369043056
PKN1_HUMAN,-0.19114613968417615,-0.06670579381205832
POLG_CXB3N,-0.013429900765562563,0.21151521495008072
POLG_DEN26,0.02943276591328548,0.0013380651184603603
POLG_PESV,-0.18114379022770555,0.1065575423039897
PPARG_HUMAN,0.22414221204640283,0.11651740002756608
PPM1D_HUMAN,-0.19708393455258644,-0.06082821888960244
PR40A_HUMAN,-0.007416652667570929,0.16621462693504427
PRKN_HUMAN,-0.10927995203073777,0.05761753902541983
PSAE_PICP2,0.027141289317799154,-0.03406976190736392
PTEN_HUMAN,-0.1326535841372791,-0.05422723922181335
Q2N0S5_9HIV1,-0.34272031209720927,-0.20478604031924372
Q53Z42_HUMAN,0.09438208059632062,0.10324625249765283
Q59976_STRSQ,0.05952857340170745,0.10708336632849519
Q6WV12_9MAXI,0.03372532566917208,-0.07298015080305995
Q8WTC7_9CNID,-0.1467793756406674,-0.0007244698720467111
R1AB_SARS2,-0.16230576146942122,-0.034270646574319795
RAD_ANTMA,0.03777684606717116,0.08313955728809314
RASH_HUMAN,-0.022944027102465517,-0.1637057736289206
RASK_HUMAN,-0.06029967888800497,-0.1818116343501559
RBP1_HUMAN,-0.08478121672613152,-0.0057630736445255576
RCD1_ARATH,-0.04614985740212601,-0.10869847031371534
RCRO_LAMBD,-0.13984637606468558,-0.0023043687096137686
