UniProt_ID,dD_evo_struct,dD_std
MSH2_HUMAN,-0.0498534413300179,-0.021024066117696694
MTH3_HAEAE,0.04230209477103225,0.013329849383943548
MTHR_HUMAN,-0.018397494027149852,-0.018803409544057015
MYO3_YEAST,-0.1627954700872521,-0.001140715635254974
NCAP_I34A1,-0.007428348569019194,-0.01966225509327635
NKX31_HUMAN,-0.025076038355520802,0.06004363225430365
NPC1_HUMAN,-0.04775957359427779,-0.022560445845124733
NRAM_I33A0,-0.03862861590885747,-0.003320660130630926
NUD15_HUMAN,-0.11409720330383522,0.021729448852763178
NUSA_ECOLI,-0.09013045419130372,-0.002693703931348934
NUSG_MYCTU,0.10426838931420135,0.10097718828429092
OBSCN_HUMAN,0.1664154346047455,-0.004359411890816678
OPSD_HUMAN,-0.04830621784456113,-0.04247062526880341
OTC_HUMAN,0.059908853822673414,0.032253632047404945
OXDA_RHOTO,0.07694014548369021,0.024508577955435595
P53_HUMAN,0.020029431618598714,-0.029629058258577312
P84126_THETH,0.10696010160795422,0.06658079736797945
PABP_YEAST,0.0025120205017422625,-0.05134237349338844
PAI1_HUMAN,0.03491120501581957,0.0046554446470065125
PA_I34A1,-0.02025340855514879,-0.006076440702251773
PHOT_CHLRE,0.003911597341717921,0.0928634330152992
PITX2_HUMAN,0.2740819122284994,-0.012528205287307581
PKN1_HUMAN,0.2132582935485695,0.09381480040717471
POLG_CXB3N,0.034841828057477264,-0.0639382390724319
POLG_DEN26,-0.03748014608207195,-0.010801462867099154
POLG_PESV,0.11744860346936692,0.02237179332329342
PPARG_HUMAN,-0.10404099654827004,0.035065105195438595
PPM1D_HUMAN,0.08903947431028902,0.022709665846340044
PR40A_HUMAN,-0.07162268108774245,-0.02371127593747091
PRKN_HUMAN,0.06276572759385912,-0.021666657041946702
PSAE_PICP2,-0.05797041564077099,-0.0003090682319591975
PTEN_HUMAN,0.06957248020460133,0.035203702037264195
Q2N0S5_9HIV1,0.30060482192358795,0.04665698562864917
Q53Z42_HUMAN,-0.07368510116558713,-0.03034897577067497
Q59976_STRSQ,-0.06796106344191433,-0.00026254181600116056
Q6WV12_9MAXI,-0.017961082679000318,0.029648200913295786
Q8WTC7_9CNID,0.10302104750389157,0.05264983510990684
R1AB_SARS2,0.0661274241902221,-0.0577135208689864
RAD_ANTMA,-0.10180203449066072,-0.022224866231356333
RASH_HUMAN,-0.04069279407789239,0.047837053326953316
RASK_HUMAN,0.09563128236922136,0.05059834951855069
RBP1_HUMAN,0.011891739455897388,-1.3317868313822423e-05
RCD1_ARATH,0.07713770984745472,-0.027950556166578155
RCRO_LAMBD,0.18867151389987113,0.06091463444300049
RDRP_I33A0,0.03070119194453802,-0.008254355391342005
REV_HV1H2,0.05281246414850249,-0.0582341330216003
RFAH_ECOLI,0.010630254681965656,0.09063954653272632
RL20_AQUAE,0.33795291552034523,0.06691791538308256
RL40A_YEAST,0.0014806183431328446,0.02009812020093049
RNC_ECOLI,0.03246835126155234,-0.0003020870308249046
RPC1_BP434,0.03645092117387555,0.152243065340254
RPC1_LAMBD,0.1501691996848486,0.05793923264054657
RS15_GEOSE,0.008318108438531868,0.0104444301783288
S22A1_HUMAN,-0.06844713839132027,0.0033122938076448616
SBI_STAAM,0.12424428955669098,0.08869403650102436
SC6A4_HUMAN,-0.03534032795484682,0.006097459769326963
SCIN_STAAR,0.15518357672220606,-0.01514226556523679
SERC_HUMAN,-0.03564864198837919,0.012616593040640556
