DMS_id,n_variants,median_D,p95_D,frac_highD
BLAT_ECOLX_Deng_2012,4996,0.5817640612817934,0.8972354177821062,0.100080064051241
BLAT_ECOLX_Firnberg_2014,4783,0.5827232467729114,0.8941112920955225,0.10014635166213673
BLAT_ECOLX_Jacquier_2013,989,0.5785162650546254,0.886736765925551,0.10010111223458039
BLAT_ECOLX_Stiffler_2015,4996,0.5817193334203393,0.8952849251090246,0.100080064051241
BRCA1_HUMAN_Findlay_2018,1837,0.6457581172891688,0.9534533619191717,0.10016330974414807
BRCA2_HUMAN_Erwood_2022_HEK293T,265,0.7410825051501885,1.0351952651736103,0.1018867924528302
C6KNH7_9INFA_Lee_2018,10754,0.7087828661362574,1.0323789822437333,0.10005579319323042
CALM1_HUMAN_Weile_2017,1813,0.5521106960537897,0.7986924953225335,0.10038610038610038
CAPSD_AAV2S_Sinai_2021,532,0.7626123245829786,1.112256582199441,0.10150375939849623
CAR11_HUMAN_Meitlis_2020_gof,2374,0.6378036010788497,0.8940399106631018,0.10025273799494525
CAR11_HUMAN_Meitlis_2020_lof,2395,0.6359144565557197,0.8967279698923245,0.10020876826722339
CAS9_STRP1_Spencer_2017_positive,8117,0.6771536696081366,1.0044290004977054,0.10003695946778367
CASP3_HUMAN_Roychowdhury_2020,1567,0.5402557106406687,0.9238654622924142,0.1001914486279515
CASP7_HUMAN_Roychowdhury_2020,1680,0.5286577705818881,0.8421206688435698,0.1
CATR_CHLRE_Tsuboyama_2023_2AMI,1340,0.5334887555035213,0.9458379458081607,0.1
CBPA2_HUMAN_Tsuboyama_2023_1O6X,1357,0.5955875949629598,1.028794671108326,0.10022107590272661
CBS_HUMAN_Sun_2020,7217,0.53982842450464,0.8488920082860136,0.10004156851877512
CBX4_HUMAN_Tsuboyama_2023_2K28,917,0.5740199132692096,0.9528734845589727,0.10032715376226826
CCDB_ECOLI_Adkar_2012,1176,0.6041156680405401,0.9409731722796144,0.10034013605442177
CCDB_ECOLI_Tripathi_2016,1663,0.6075270906354091,0.938513885480982,0.10042092603728202
CCR5_HUMAN_Gill_2023,6137,0.5266296133889109,0.8592218045728759,0.10004888381945576
CD19_HUMAN_Klesmith_2019_FMC_singles,3761,0.6426553219193987,0.9954508369433879,0.10023929805902686
CP2C9_HUMAN_Amorosi_2021_abundance,6370,0.5174488528283573,0.7959090959233375,0.1
CP2C9_HUMAN_Amorosi_2021_activity,6142,0.5205925878654918,0.7890019247176455,0.10013025073266037
CSN4_MOUSE_Tsuboyama_2023_1UFM,1353,0.5824210541930351,0.9247163628074495,0.10051736881005174
CUE1_YEAST_Tsuboyama_2023_2MYX,955,0.5920142017573446,0.9016371971140004,0.10052356020942409
D7PM05_CLYGR_Somermeyer_2022,1169,0.7149922296658496,1.1061526412899612,0.10008554319931566
DLG4_HUMAN_Faure_2021,1280,0.5816797487324357,0.8069610841709751,0.1
DLG4_RAT_McLaughlin_2012,1576,0.5710528725057764,0.8255936716618526,0.10025380710659898
DN7A_SACS2_Tsuboyama_2023_1JIC,1008,0.6687305542689777,1.0489587226619095,0.1001984126984127
DNJA1_HUMAN_Tsuboyama_2023_2LO1,1216,0.5011946652729538,0.9484351736598967,0.10032894736842106
DOCK1_MOUSE_Tsuboyama_2023_2M0Y,1213,0.5540159750976391,0.9287790473092231,0.10057708161582853
DYR_ECOLI_Nguyen_2023,2916,0.563921233521498,0.8566212154864467,0.10013717421124829
DYR_ECOLI_Thompson_2019,2363,0.5778671046201982,0.8800608732828747,0.10029623360135421
ENVZ_ECOLI_Ghose_2023,1121,0.5765140448061364,0.9636800630628348,0.1008028545941124
ENV_HV1B9_DuenasDecamp_2016,375,0.5982528553813966,0.8897371221927888,0.10133333333333333
